ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
d96be344-69ec-425c-8858-6cc780ece700,D'Quesos Salsamentaria,313 5257227,Quesería,"4,7",(131),Suba,Bogotá,313 5257227,N/A,"Lacteos, Bogotá, Suba",Otros
97db65f4-1da2-4e3f-9df9-e2b9b8deb2c7,Lacteos-salsamentaria La Esquina,16483878,Quesería,"4,3",(3),Suba,Bogotá,16483878,N/A,"Lacteos, Bogotá, Suba",Otros
46d6c044-6db1-416c-837e-18d2b4f25ac2,lacteos Santo Domingo,Abierto ⋅ Cierra a las 9 p. m.,N/A,"4,4",(5),Suba,Bogotá,N/A,N/A,"Lacteos, Bogotá, Suba",Otros
f2cdc7c7-29d7-464b-9aba-41382bdb4cf1,Lácteos Maria Jose,310 2283065,Delicatessen de carnicería,"4,0",(2),Suba,Bogotá,310 2283065,N/A,"Lacteos, Bogotá, Suba",Lácteos
e273dbb6-63dc-4c8a-8ae4-d6d2efb501ae,Peslac Procesadora De Lácteos,14801468,Quesería,"4,5",(6),Suba,Bogotá,14801468,N/A,"Lacteos, Bogotá, Suba",Lácteos
80b1e4bc-1285-4348-96ca-fb1658894752,Via Lactea Express 2,Cierra pronto ⋅ 8 p. m. ⋅ Abre a las 8:30 a. m. del mié,N/A,"4,9",(7),Suba,Bogotá,N/A,N/A,"Lacteos, Bogotá, Suba",Otros
cf7253fc-1351-433c-bf8f-eda9e0962b40,Lacteos Y Salsas El Paisa,16789983,Quesería,"4,2",(5),Suba,Bogotá,16789983,N/A,"Lacteos, Bogotá, Suba",Otros
66fbc10c-9ff7-484d-a35e-0d92862df80e,El Oriente,16712437,Quesería,"4,3",(87),Suba,Bogotá,16712437,N/A,"Lacteos, Bogotá, Suba",Otros
0c89c047-b012-4655-b205-c09f7042089f,UMBILACTEOS QUESOS AL GUSTO S.A.S,313 3597460,Quesería,"4,7",(3),Suba,Bogotá,313 3597460,N/A,"Lacteos, Bogotá, Suba",Otros
778ae9e3-435c-43ab-9641-9612c880df1f,Lacteos el Mayorista,Cerrado ⋅ Abre a las 9 a. m. del mié,N/A,"4,3",(38),Engativá,Bogotá,N/A,N/A,"Lacteos, Bogotá, Engativá",Otros
